id, isin, issuerName, maturityDate, startDate, bondDuration, couponRate, couponPeriod, high, low, last, change, yield, pieceSize, fitch, moody's, snp
68, CJQUD0500, Wikizz, 01-08-2038, 01-08-2015, 23, 3.474, Quaterly, 148.979, 139.221, 144.685, 4.352, 3.486, 99.656, AA, Aa2, BB
69, JVK157180, Oyoba, 23-06-2047, 23-06-2015, 32, 3.382, Annual, 282.432, 281.472, 282.403, 22.182, 3.393, 99.676, A+, A3, A-
70, SMF4535, Latz, 23-02-2026, 23-02-2015, 11, 1.137, Semi-Annual, 384.372, 376.531, 383.353, -46.349, 1.138, 99.912, A+, A2, BB
71, QPH270601, Realbuzz, 04-03-2036, 04-03-2015, 21, 4.329, Annual, 413.243, 406.135, 410.258, 3.544, 4.348, 99.563, BB, B3, BB
72, DBC9382, Skajo, 22-01-2033, 22-01-2015, 18, 0.257, Semi-Annual, 297.099, 280.729, 289.241, 0.0, 0.257, 100, B+, Ba2, BB
73, YFZSO023, Livetube, 02-11-2024, 02-11-2015, 9, 0.947, Annual, 100.0, 100.0, 120.585, -2.757, 0.948, 99.895, B+, Caa1, CCC+
74, TCRY672776, Skiba, 28-05-2029, 28-05-2015, 14, 4.096, Semi-Annual, 60.112, 56.95, 58.752, -0.017, 4.113, 99.587, BB, B3, BB
75, CKQE769, Devcast, 09-04-2019, 09-04-2015, 4, 2.693, Quaterly, 206.344, 202.155, 203.956, 3.989, 2.7, 99.741, B+, Caa2, CCC
76, QIRW453735, Realbuzz, 21-03-2021, 21-03-2015, 6, 3.846, Quaterly, 38.159, 34.77, 36.871, 0.227, 3.861, 99.611, B-, Caa1, BB
77, BCFE150, Agivu, 08-01-2048, 08-01-2015, 33, 4.206, Semi-Annual, 437.566, 408.643, 424.84, -214.738, 4.224, 99.574, WD, WR, BB
78, NLYGJ972614, Cogidoo, 20-10-2044, 20-10-2015, 29, 1.794, Quaterly, 193.513, 181.225, 189.581, -5.11, 1.797, 99.833, B-, Caa1, BB
79, UOQAV18851, Browsetype, 18-05-2020, 18-05-2015, 5, 0.844, Semi-Annual, 100.0, 100.0, 100.0, -5.671, 0.845, 99.882, BB, B3, BB
80, YUQWK1741, Feedfish, 12-04-2045, 12-04-2015, 30, 4.479, Annual, 173.91, 157.928, 162.882, -1.249, 4.499, 99.555, B-, Caa1, BB
81, WOIUP308841, Cogilith, 25-04-2038, 25-04-2015, 23, 3.059, Annual, 34.43, 33.397, 33.624, -0.437, 3.068, 99.707, B+, Baa1, BB
82, RUZV47556, Browseblab, 02-07-2043, 02-07-2015, 28, 2.863, Semi-Annual, 264.415, 263.41, 263.702, -4.2, 2.871, 99.721, B+, Baa1, BB-
83, ZLFGE6651, Wikizz, 29-10-2018, 29-10-2015, 3, 4.193, Annual, 100.0, 100.0, 100.0, -1.781, 4.211, 99.573, B+, Baa1, BB
84, GSYCA117, Gabtune, 07-09-2042, 07-09-2015, 27, 2.941, Semi-Annual, 271.53, 265.801, 271.186, -10.0, 2.95, 99.695, B+, Baa1, BB
85, SUGA67261, Meemm, 24-09-2046, 24-09-2015, 31, 1.386, Annual, 100.0, 118.795, 100.0, -21.766, 1.388, 99.856, BB+, Ba2, BB+
86, QWDV973, Rhyzio, 09-11-2019, 09-11-2015, 4, 2.839, Semi-Annual, 220.903, 215.535, 216.287, 4.68, 2.847, 99.719, B+, Baa1, BB
87, WTZB4313, Pixonyx, 16-12-2028, 16-12-2015, 13, 0.667, Annual, 264.077, 241.551, 244.48, 1.891, 0.667, 100, B+, Baa1, BB
88, SJE272482, Voonyx, 21-08-2043, 21-08-2015, 28, 2.75, Semi-Annual, 80.477, 78.884, 79.664, -1.352, 2.758, 99.71, B+, Baa1, B+
89, YIUQZ37561, Realmix, 10-01-2047, 10-01-2015, 32, 4.629, Annual, 438.834, 400.48, 403.548, 0.179, 4.65, 99.548, B+, Baa1, B-
90, GSDQ1918, Bubblebox, 14-02-2027, 14-02-2015, 12, 1.959, Semi-Annual, 273.267, 252.745, 256.233, -2.647, 1.963, 99.796, B+, Baa1, BB
91, MLO575009, Agivu, 13-10-2044, 13-10-2015, 29, 0.206, Annual, 464.624, 427.593, 440.924, 56.303, 0.206, 100, BBB, Baa3, BB
92, ZMEFK102126, Vipe, 03-10-2019, 03-10-2015, 4, 3.205, Semi-Annual, 477.082, 448.362, 456.978, -1.968, 3.215, 99.689, AA+, Aaa, AAA
93, ZXCAG24542, Tanoodle, 30-07-2050, 30-07-2015, 35, 0.322, Quaterly, 202.593, 201.256, 202.245, 2.316, 0.322, 100, BBB-, Baa3, BB
94, ZORM4253, Bubbletube, 15-05-2047, 15-05-2015, 32, 3.536, Semi-Annual, 136.964, 135.457, 136.648, -2.16, 3.549, 99.634, AA+, Aaa, AAA
95, YHMXJ75558, Feedfire, 01-05-2049, 01-05-2015, 34, 2.561, Quaterly, 151.128, 145.43, 149.362, -0.662, 2.568, 99.727, BBB+, Baa1, BBB+
96, XBZGM656147, Cogilith, 14-09-2044, 14-09-2015, 29, 0.651, Annual, 303.724, 288.781, 298.793, 2.925, 0.651, 100, BBB+, Baa3, BB
97, ZOI90082, Twitternation, 16-07-2040, 16-07-2015, 25, 0.308, Quaterly, 355.895, 339.595, 339.921, -6.404, 0.308, 100, A-, Baa3, BBB
98, TVL697, Yacero, 01-06-2050, 01-06-2015, 35, 4.463, Semi-Annual, 96.571, 88.749, 88.827, -1.269, 4.483, 99.554, A-, Baa2, A-
99, GSQJ85846, Livefish, 19-09-2020, 19-09-2015, 5, 0.23, Quaterly, 100.0, 100.0, 120.546, -0.776, 0.23, 100, BBB, Baa2, BB
100, XEVO9856, Katz, 09-03-2030, 09-03-2015, 15, 4.178, Semi-Annual, 67.651, 60.994, 66.786, 12.855, 4.195, 99.595, WD, Baa1, BBB+
101, OEW52022, Roomm, 10-06-2030, 10-06-2015, 15, 3.99, Semi-Annual, 243.303, 236.734, 241.529, -0.474, 4.006, 99.601, BBB+, Baa1, BBB+
102, SEBFY539594, Camimbo, 26-10-2029, 26-10-2015, 14, 3.169, Quaterly, 27.992, 26.217, 26.679, 0.52, 3.179, 99.685, BBB+, Baa1, BBB+
103, TDVR9725, Yadel, 17-12-2026, 17-12-2015, 11, 0.253, Annual, 405.13, 399.661, 400.153, 16.144, 0.253, 100, B-, Caa3, D
104, GUF9412, Vinte, 18-03-2041, 18-03-2015, 26, 2.093, Semi-Annual, 351.537, 339.901, 345.952, 30.375, 2.097, 99.809, BBB+, Baa1, BBB+
105, ZQNE45025, Skidoo, 03-05-2026, 03-05-2015, 11, 3.284, Semi-Annual, 420.703, 394.073, 407.388, -0.739, 3.295, 99.666, B+, Caa2, BB
106, YCZGX6259, Blogspan, 20-11-2023, 20-11-2015, 8, 0.533, Annual, 349.216, 341.463, 344.875, -39.897, 0.533, 100, BB, B3, BB
107, XHL17949, Vitz, 02-09-2018, 02-09-2015, 3, 4.486, Annual, 474.672, 451.176, 464.569, 0.266, 4.506, 99.556, BB, B3, BB
108, HTZ57632, Jayo, 02-10-2027, 02-10-2015, 12, 4.367, Annual, 340.077, 309.946, 314.767, -27.357, 4.386, 99.567, BB+, Ba1, BBB-
109, FQS934, Wordpedia, 13-06-2037, 13-06-2015, 22, 3.58, Annual, 209.907, 205.415, 208.155, 13.215, 3.593, 99.638, BB, B3, BB
110, CQHM6973, Rhyloo, 01-08-2025, 01-08-2015, 10, 2.055, Annual, 238.824, 226.262, 235.683, 0.61, 2.059, 99.806, B+, B1, B+
111, BAM709, Zazio, 26-04-2047, 26-04-2015, 32, 2.531, Quaterly, 144.18, 133.266, 143.525, -1.033, 2.537, 99.764, B+, Baa1, CCC-
112, KIFLB11149, Realblab, 25-04-2047, 25-04-2015, 32, 4.712, Semi-Annual, 355.609, 343.981, 355.609, -38.74, 4.734, 99.535, B+, Baa1, BB
113, FEO49695, Feednation, 11-12-2026, 11-12-2015, 11, 3.107, Annual, 327.804, 324.067, 325.263, 1.618, 3.117, 99.679, BB+, Baa3, BBB
114, NUYLW2267, Divape, 11-08-2031, 11-08-2015, 16, 2.094, Quaterly, 245.711, 231.263, 231.263, 4.593, 2.098, 99.809, B+, Baa1, BB+
115, BTVQG727543, Voomm, 08-03-2035, 08-03-2015, 20, 2.608, Semi-Annual, 374.561, 361.976, 367.891, 4.28, 2.615, 99.732, B+, Baa1, BB
116, JOD9635, Bubbletube, 07-07-2045, 07-07-2015, 30, 2.853, Annual, 466.421, 457.372, 463.344, -47.746, 2.861, 99.72, B+, Baa1, BB
117, DGMHO895, Yoveo, 23-01-2027, 23-01-2015, 12, 1.592, Quaterly, 248.316, 226.141, 246.986, 9.669, 1.595, 99.812, B+, Baa1, BB+
118, QTF525184, Meedoo, 31-05-2027, 31-05-2015, 12, 1.82, Annual, 160.521, 152.254, 153.908, 2.122, 1.823, 99.835, B+, Baa1, B+
119, WCPHL22033, Ntag, 24-06-2049, 24-06-2015, 34, 2.264, Annual, 468.005, 463.98, 464.302, 2.619, 2.269, 99.78, A, A2, A
120, XGM396619, Skidoo, 02-09-2043, 02-09-2015, 28, 1.567, Semi-Annual, 53.638, 53.386, 53.615, 0.225, 1.569, 99.873, B+, Baa1, BB
121, NCD5981, Demivee, 12-12-2034, 12-12-2015, 19, 1.466, Annual, 472.888, 441.11, 441.11, 0.005, 1.468, 99.864, BBB, Baa1, A
122, EMOT0216, Yodo, 12-06-2039, 12-06-2015, 24, 3.429, Quaterly, 280.243, 259.589, 278.591, -2.045, 3.441, 99.651, BBB+, Baa3, BB
123, EZS799897, Edgewire, 14-08-2030, 14-08-2015, 15, 4.039, Annual, 142.112, 100.0, 137.343, 1.312, 4.055, 99.605, BBB-, Ba1, BBB-
124, QGNED43827, Twitterworks, 18-08-2022, 18-08-2015, 7, 2.302, Quaterly, 52.996, 49.297, 49.482, 0.659, 2.307, 99.783, BBB, Baa2, BB
125, PBG319, Livetube, 10-10-2018, 10-10-2015, 3, 2.761, Semi-Annual, 241.467, 233.474, 235.233, -38.267, 2.769, 99.711, A, A3, BBB+
126, CMT568169, Leexo, 26-02-2042, 26-02-2015, 27, 2.507, Annual, 97.187, 92.182, 97.087, -2.98, 2.513, 99.761, AA+, Aaa, AAA
127, UHBFV85020, Aibox, 15-09-2033, 15-09-2015, 18, 3.399, Semi-Annual, 354.172, 318.826, 343.922, -7.911, 3.411, 99.648, AA-, Aa2, BB
128, EYCG6239, Zoombeat, 15-08-2028, 15-08-2015, 13, 4.565, Annual, 100.0, 100.0, 100.0, -4.527, 4.586, 99.542, BBB-, Baa3, BB
129, BFOP058718, Topicware, 30-05-2031, 30-05-2015, 16, 0.269, Quaterly, 41.094, 40.293, 41.022, 0.847, 0.269, 100, B+, Baa1, BB
130, IEVS773402, Zoonoodle, 17-06-2038, 17-06-2015, 23, 4.832, Semi-Annual, 32.86, 32.39, 32.54, -0.852, 4.855, 99.526, B+, A3, A-
131, NIBJA948601, Camido, 11-11-2037, 11-11-2015, 22, 0.568, Quaterly, 103.038, 96.474, 99.1, 1.019, 0.568, 100, BBB, Baa1, A
132, JPRVF898859, Thoughtstorm, 27-05-2033, 27-05-2015, 18, 0.765, Semi-Annual, 493.482, 465.057, 471.311, -3.817, 0.766, 99.869, BBB, Baa1, A
133, TYDP431409, Edgewire, 18-07-2050, 18-07-2015, 35, 1.475, Annual, 464.09, 423.482, 436.071, 1.251, 1.477, 99.865, BBB, Baa1, A
134, EDUHR85311, Edgeclub, 11-10-2021, 11-10-2015, 6, 2.194, Semi-Annual, 333.164, 325.101, 326.956, 13.018, 2.199, 99.773, BBB+, Baa2, A-
135, SGJ049, Eidel, 02-11-2025, 02-11-2015, 10, 4.171, Quaterly, 338.763, 319.081, 332.268, -62.547, 4.188, 99.594, BBB+, Baa2, A-
136, HJP7705, Zoonder, 16-07-2041, 16-07-2015, 26, 4.896, Semi-Annual, 275.889, 270.288, 273.985, 8.511, 4.92, 99.512, B, Caa1, CCC+
137, UMY183765, Meevee, 03-02-2025, 03-02-2015, 10, 1.229, Annual, 320.321, 311.993, 312.825, -4.045, 1.231, 99.838, BB, B3, BB
138, PQR5402, Realmix, 10-09-2018, 10-09-2015, 3, 1.12, Semi-Annual, 331.183, 307.073, 309.966, -13.882, 1.121, 99.911, CCC+, Caa1, B-
139, QRNOM68969, Skiba, 07-06-2019, 07-06-2015, 4, 0.908, Annual, 440.282, 436.936, 438.642, -49.143, 0.909, 99.89, BB+, Ba1, BBB-
140, DEK188, Meemm, 22-05-2026, 22-05-2015, 11, 3.249, Quaterly, 169.022, 167.129, 168.587, 0.055, 3.26, 99.663, B+, Caa1, CCC+
141, WMK422, Riffwire, 09-04-2049, 09-04-2015, 34, 1.959, Semi-Annual, 120.395, 114.917, 115.136, -16.291, 1.963, 99.796, B-, Baa1, D
142, HLMPK2923, Linktype, 09-12-2031, 09-12-2015, 16, 2.286, Annual, 202.827, 200.535, 200.718, 6.607, 2.291, 99.782, B+, Baa1, BB-
143, EXKUV857, Oyoloo, 19-03-2050, 19-03-2015, 35, 4.914, Quaterly, 394.682, 378.658, 388.593, -6.483, 4.938, 99.514, B+, Baa1, B-
144, VOQAL653980, Thoughtmix, 09-03-2024, 09-03-2015, 9, 4.789, Quaterly, 88.649, 86.734, 87.826, 0.816, 4.812, 99.522, B+, Baa1, BB
145, DNTZF166, Babblestorm, 09-03-2024, 09-03-2015, 9, 2.419, Semi-Annual, 418.521, 377.255, 383.857, -43.109, 2.425, 99.753, CC, Baa1, CCC-
146, BCDPF981934, Voonte, 11-02-2048, 11-02-2015, 33, 1.48, Semi-Annual, 493.42, 447.137, 451.765, -7.744, 1.482, 99.865, B+, Baa1, CCC-
147, ENMW03861, Youfeed, 10-02-2037, 10-02-2015, 22, 3.238, Annual, 176.059, 166.517, 173.196, -5.293, 3.248, 99.692, B+, Baa1, BB+
148, FIUNH6820, Livetube, 31-03-2021, 31-03-2015, 6, 4.143, Semi-Annual, 328.295, 323.83, 327.982, -4.4, 4.16, 99.591, B+, Baa1, BB
149, JBKX249, Topiclounge, 15-04-2045, 15-04-2015, 30, 1.402, Quaterly, 33.216, 32.249, 32.559, -0.022, 1.404, 99.858, B+, Baa1, B-
150, SEFUA908, Skipstorm, 09-10-2040, 09-10-2015, 25, 3.991, Semi-Annual, 383.919, 354.357, 377.415, -5.865, 4.007, 99.601, B+, Baa1, BB-
151, FWJH569451, Kaymbo, 25-04-2049, 25-04-2015, 34, 3.418, Annual, 483.581, 466.946, 469.275, 1.834, 3.43, 99.65, A-, Baa1, BBB+
152, ABX97193, Feedspan, 19-08-2028, 19-08-2015, 13, 1.92, Annual, 295.651, 277.173, 279.76, 9.414, 1.924, 99.792, A-, Baa1, BBB+
153, XOTI36179, Yambee, 18-09-2029, 18-09-2015, 14, 2.731, Annual, 439.596, 429.046, 435.376, 168.507, 2.738, 99.744, AA+, Aaa, AAA
154, HSN23952, Wordware, 19-01-2046, 19-01-2015, 31, 0.702, Annual, 289.861, 281.658, 287.81, 10.036, 0.702, 100, AA-, A2, A
155, ETPNS6475, Topdrive, 17-04-2033, 17-04-2015, 18, 4.315, Annual, 423.651, 412.17, 418.829, -16.607, 4.334, 99.562, A+, A1, AA-
156, HLKF294, Oozz, 16-05-2043, 16-05-2015, 28, 2.652, Annual, 253.282, 248.343, 251.85, -1.03, 2.659, 99.737, BBB, Baa2, BBB
157, KME759, Browsezoom, 14-05-2048, 14-05-2015, 33, 1.643, Annual, 101.302, 98.496, 98.72, 2.126, 1.646, 99.818, AA-, Aa2, BB
158, NICAZ48342, Photofeed, 09-07-2038, 09-07-2015, 23, 2.409, Semi-Annual, 312.111, 304.09, 310.025, -13.704, 2.415, 99.752, AA-, Aa2, BB
159, XSDWK198, Topiczoom, 10-08-2035, 10-08-2015, 20, 4.209, Semi-Annual, 69.572, 68.229, 68.525, 1.87, 4.227, 99.574, A-, A3, A-
160, REWF153024, Podcat, 25-08-2047, 25-08-2015, 32, 4.479, Quaterly, 462.44, 419.479, 428.501, -15.963, 4.499, 99.555, BBB, Baa2, BBB+
161, VEF0828, Vinder, 09-03-2037, 09-03-2015, 22, 4.143, Quaterly, 252.024, 242.296, 243.171, 8.042, 4.16, 99.591, BB, B3, BB
